Airport,Year,OpenHour,CloseHour,Capacity
BIGR,2023,0,24,999
BIGR,2024,0,24,999
BIGR,2025,0,24,999
BIGS,2018,0,24,999
BIGS,2019,0,24,999
BIGS,2020,0,24,999
BIGS,2021,0,24,999
BIGS,2022,0,24,999
BIGS,2023,0,24,999
BIGS,2024,0,24,999
BIGS,2025,0,24,999
BIHE,2018,0,24,999
BIHE,2019,0,24,999
BIHE,2020,0,24,999
BIHE,2021,0,24,999
BIHE,2022,0,24,999
BIHE,2023,0,24,999
BIHE,2024,0,24,999
BIHE,2025,0,24,999
BIHI,2018,0,24,999
BIHI,2019,0,24,999
BIHI,2020,0,24,999
BIHI,2021,0,24,999
BIHI,2022,0,24,999
BIHI,2023,0,24,999
BIHI,2024,0,24,999
BIHI,2025,0,24,999
BIHK,2018,0,24,999
BIHK,2019,0,24,999
BIHK,2020,0,24,999
BIHK,2021,0,24,999
BIHK,2022,0,24,999
BIHK,2023,0,24,999
BIHK,2024,0,24,999
BIHK,2025,0,24,999
BIHL,2018,0,24,999
BIHL,2019,0,24,999
BIHL,2020,0,24,999
BIHL,2021,0,24,999
BIHL,2022,0,24,999
BIHL,2023,0,24,999
BIHL,2024,0,24,999
BIHL,2025,0,24,999
BIHN,2018,0,24,999
BIHN,2019,0,24,999
BIHN,2020,0,24,999
BIHN,2021,0,24,999
BIHN,2022,0,24,999
BIHN,2023,0,24,999
BIHN,2024,0,24,999
BIHN,2025,0,24,999
BIHU,2018,0,24,999
BIHU,2019,0,24,999
BIHU,2020,0,24,999
BIHU,2021,0,24,999
BIHU,2022,0,24,999
BIHU,2023,0,24,999
BIHU,2024,0,24,999
BIHU,2025,0,24,999
BIHV,2018,0,24,999
BIHV,2019,0,24,999
BIHV,2020,0,24,999
BIHV,2021,0,24,999
BIHV,2022,0,24,999
BIHV,2023,0,24,999
BIHV,2024,0,24,999
BIHV,2025,0,24,999
BIHZ,2018,0,24,999
BIHZ,2019,0,24,999
BIHZ,2020,0,24,999
BIHZ,2021,0,24,999
BIHZ,2022,0,24,999
BIHZ,2023,0,24,999
BIHZ,2024,0,24,999
