RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
LFMDA04,5,2019-08-04T14:00:00.000Z,2019-08-04T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA02,4,2019-08-02T10:00:00.000Z,2019-08-02T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA02,5,2019-08-02T08:00:00.000Z,2019-08-02T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA02,3,2019-08-02T17:00:00.000Z,2019-08-02T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA01,3,2019-08-01T06:00:00.000Z,2019-08-01T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA02,5,2019-08-02T14:00:00.000Z,2019-08-02T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA01,5,2019-08-01T08:00:00.000Z,2019-08-01T10:00:00.000Z,LFMD,AD,A,20,20
LFMDA01,4,2019-08-01T10:00:00.000Z,2019-08-01T14:00:00.000Z,LFMD,AD,A,20,20
LFMDA01,5,2019-08-01T14:00:00.000Z,2019-08-01T17:00:00.000Z,LFMD,AD,A,20,20
LFMDA02,3,2019-08-02T06:00:00.000Z,2019-08-02T08:00:00.000Z,LFMD,AD,A,20,20
LFMDA01,3,2019-08-01T17:00:00.000Z,2019-08-01T19:30:00.000Z,LFMD,AD,A,20,20
LFMDA27,5,2019-07-27T09:00:00.000Z,2019-07-27T16:00:00.000Z,LFMD,AD,A,20,20
LFMDA26,6,2019-07-26T13:50:00.000Z,2019-07-26T19:00:00.000Z,LFMD,AD,A,20,20
LFMDA26,5,2019-07-26T13:00:00.000Z,2019-07-26T13:50:00.000Z,LFMD,AD,A,20,20
LFMDA23,5,2019-07-23T09:00:00.000Z,2019-07-23T11:00:00.000Z,LFMD,AD,A,20,20
LFMDA20E,6,2019-07-20T08:40:00.000Z,2019-07-20T13:00:00.000Z,LFMD,AD,A,20,20
LFMDA21E,5,2019-07-21T10:20:00.000Z,2019-07-21T16:20:00.000Z,LFMD,AD,A,20,20
LFMDA19,5,2019-07-19T15:30:00.000Z,2019-07-19T18:00:00.000Z,LFMD,AD,A,20,20
LFMLG24,0,2019-07-24T12:00:00.000Z,2019-07-24T13:04:00.000Z,LFML,AD,G,10,20
LFMLA14,14,2019-08-14T13:30:00.000Z,2019-08-14T15:00:00.000Z,LFML,AD,A,10,20
LFMLA24A,12,2019-07-24T13:40:00.000Z,2019-07-24T15:30:00.000Z,LFML,AD,A,10,20
LFMLA25,12,2019-07-25T14:30:00.000Z,2019-07-25T16:30:00.000Z,LFML,AD,A,10,20
MNE12,18,2019-08-12T12:00:00.000Z,2019-08-12T13:40:00.000Z,LFM1A,AZ,A,10,20
MNEA02,20,2019-08-02T10:00:00.000Z,2019-08-02T13:00:00.000Z,LFM1A,AZ,A,10,20
LFMNA27A,12,2019-07-27T13:40:00.000Z,2019-07-27T15:02:00.000Z,LFMN,AD,A,10,20
LFMNA24M,24,2019-07-24T11:00:00.000Z,2019-07-24T13:00:00.000Z,LFMN,AD,A,10,20
LFMNA24M,20,2019-07-24T08:00:00.000Z,2019-07-24T11:00:00.000Z,LFMN,AD,A,10,20
LFMNA25,14,2019-07-25T19:30:00.000Z,2019-07-25T22:00:00.000Z,LFMN,AD,A,10,20
LFMNA21A,30,2019-07-21T12:00:00.000Z,2019-07-21T13:30:00.000Z,LFMN,AD,A,10,20
LFMNA21,30,2019-07-21T10:00:00.000Z,2019-07-21T11:30:00.000Z,LFMN,AD,A,10,20
LFMND27A,15,2019-07-27T13:40:00.000Z,2019-07-27T15:03:00.000Z,LFMN,AD,D,10,20
LFMND25,14,2019-07-25T19:30:00.000Z,2019-07-25T22:00:00.000Z,LFMN,AD,D,10,20
LFMPG26,0,2019-07-26T17:00:00.000Z,2019-07-26T18:45:00.000Z,LFMP,AD,G,10,20
LFMPG25,0,2019-07-25T09:36:00.000Z,2019-07-25T11:33:00.000Z,LFMP,AD,G,10,20
LFPBA12,6,2019-08-12T05:30:00.000Z,2019-08-12T07:30:00.000Z,LFPB,AD,A,20,20
